id_maquina,tipo_maquina,planta,turno,probabilidad_falla,cluster,cluster_nombre,temperatura_c,vibracion_mm_s,presion_bar,dias_desde_mantenimiento,antiguedad_anios,tasa_defectos_pct,horas_operacion,falla_maquina
MQ-015,Torno CNC,Lima,Tarde,0.7275192178620754,3,Críticas,70.7,5.37,5.51,224,2.3,3.25,3550,0
MQ-038,Prensa,Trujillo,Mañana,0.7249798740662561,0,Eficientes,76.6,4.15,8.77,220,1.7,2.11,3575,1
MQ-077,Torno CNC,Lima,Mañana,0.7246636677392082,2,Estándar,76.2,5.33,6.1,238,4.5,3.52,11600,0
MQ-147,Inyectora,Trujillo,Noche,0.7240196253905015,3,Críticas,79.9,8.58,8.29,10,2.4,3.84,6548,1
MQ-109,Empacadora,Trujillo,Tarde,0.7214793601771958,1,Alerta,81.8,4.69,5.37,146,5.8,2.0,8712,0
MQ-040,Torno CNC,Lima,Tarde,0.7214368199392742,3,Críticas,74.7,6.16,6.22,135,3.5,5.31,4503,0
MQ-001,Empacadora,Lima,Noche,0.7212340721489154,1,Alerta,88.8,6.39,6.55,38,6.4,2.37,11401,1
MQ-085,Empacadora,Arequipa,Tarde,0.721211682798844,3,Críticas,75.2,5.24,5.42,199,0.2,3.83,2227,0
MQ-092,Inyectora,Trujillo,Noche,0.718428418241442,0,Eficientes,77.9,4.51,6.65,192,3.1,1.23,3406,1
MQ-026,Torno CNC,Lima,Tarde,0.7181277550150017,0,Eficientes,80.8,4.21,8.29,130,1.8,3.19,170,0
MQ-096,Empacadora,Trujillo,Noche,0.7180627492108005,1,Alerta,78.7,6.08,6.93,126,3.7,0.68,7075,1
MQ-116,Empacadora,Lima,Tarde,0.7166110954572155,2,Estándar,67.0,4.68,5.86,225,6.2,0.54,9079,1
MQ-010,Inyectora,Lima,Tarde,0.7158154504101408,0,Eficientes,75.3,6.33,9.09,39,3.8,1.69,1890,0
MQ-145,Inyectora,Lima,Noche,0.7147584270970344,1,Alerta,65.5,6.87,7.86,149,4.4,3.82,7751,0
MQ-135,Torno CNC,Lima,Noche,0.7144136097555994,3,Críticas,78.3,7.06,5.29,122,3.9,3.89,5111,1
MQ-008,Empacadora,Lima,Noche,0.712161937234931,1,Alerta,87.3,5.46,5.02,59,9.9,6.63,10265,1
MQ-047,Empacadora,Arequipa,Tarde,0.7119194905710267,2,Estándar,70.7,3.69,8.05,181,6.4,1.24,8397,1
MQ-024,Prensa,Trujillo,Noche,0.7101581293468213,0,Eficientes,77.1,3.8,7.26,200,4.3,4.09,5391,0
MQ-064,Empacadora,Arequipa,Mañana,0.7097586077178408,2,Estándar,72.5,2.41,8.93,234,8.7,0.55,10998,0
MQ-171,Prensa,Lima,Tarde,0.7091236337536397,1,Alerta,84.6,7.11,5.61,42,5.2,4.75,10225,0
MQ-070,Inyectora,Trujillo,Tarde,0.7074992145006352,1,Alerta,86.5,2.79,5.96,180,7.0,1.57,11786,1
MQ-168,Empacadora,Lima,Mañana,0.7068695057709932,1,Alerta,82.4,7.87,6.11,40,6.6,4.76,10652,1
MQ-022,Prensa,Trujillo,Noche,0.7050248503835755,0,Eficientes,76.0,5.58,6.88,197,0.3,0.45,4093,1
MQ-032,Inyectora,Trujillo,Noche,0.7047425726277846,0,Eficientes,81.9,5.16,8.82,115,0.4,3.41,2379,0
MQ-107,Empacadora,Arequipa,Tarde,0.7045600744721042,0,Eficientes,64.8,4.89,7.83,170,4.8,1.27,3152,0
MQ-169,Torno CNC,Arequipa,Mañana,0.7030036404873369,3,Críticas,85.6,5.06,7.71,145,0.2,2.49,330,0
MQ-177,Inyectora,Trujillo,Noche,0.7019595162869766,1,Alerta,108.9,3.58,6.59,2,6.4,6.21,9220,1
MQ-123,Inyectora,Arequipa,Noche,0.7006314866593829,3,Críticas,77.2,3.96,7.97,195,2.3,3.58,6196,1
MQ-173,Compresor,Lima,Mañana,0.7005162549142916,2,Estándar,67.0,5.19,6.49,230,6.7,0.61,10747,1
